card-id,name,faction,kind,tier,cost,ai-prompt
antlion-tunnel-harrier,Tunnel Harrier,antlion,unit,1,1,"Card character: Tunnel Harrier. Visual cue: Rushes from the burrow to sap its prey's strength on impact: -1 ATK to the enemy unit. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. simple, common, low-tier design, small and humble. stats 2/1. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-chitin-skirmisher,Chitin Skirmisher,antlion,unit,2,3,"Card character: Chitin Skirmisher. Visual cue: A hardened raider that cracks its prey on impact: -2 ATK to the enemy unit. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. stats 3/2. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-nectar-swarm,Nectar Swarm,antlion,unit,1,2,"Card character: Nectar Swarm. Visual cue: A chattering cloud that swells with every ally nearby. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. simple, common, low-tier design, small and humble. stats 2/2. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
combine-riot-marshal,Metro Riot Marshal,combine,unit,2,4,"Card character: Metro Riot Marshal. Visual cue: Calls in reinforcements the instant they take command: draw 1. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. mid-tier design, solid and functional. stats 4/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
combine-metro-bouncer,Metro Bouncer,combine,unit,3,5,"Card character: Metro Bouncer. Visual cue: Ejects the chosen enemy unit back into its owner's hand. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. majestic, epic, imposing, high-tier legendary design. stats 4/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-propaganda-runner,Propaganda Runner,rebel,unit,1,2,"Card character: Propaganda Runner. Visual cue: Broadcasts a defiant message that stings the enemy hero: 1 hero damage on play. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. simple, common, low-tier design, small and humble. stats 2/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-wrench-tinker,Wrench Tinker,rebel,unit,2,3,"Card character: Wrench Tinker. Visual cue: When it destroys an enemy unit in combat, it scrambles a spare part into your hand: draw 1. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. mid-tier design, solid and functional. stats 2/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-rotting-warden,Rotting Warden,zombie,unit,2,3,"Card character: Rotting Warden. Visual cue: Coats its target in festering rot: 2 damage at the start of each of its owner's next 2 turns. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. mid-tier design, solid and functional. stats 2/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-plague-bearer,Spore Carrier,zombie,unit,2,4,"Card character: Spore Carrier. Visual cue: Releases a virulent spore that poisons its target: 3 damage for 2 turns. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. mid-tier design, solid and functional. stats 3/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
wraith-phantom-harrier,Phantom Harrier,wraith,unit,1,2,"Card character: Phantom Harrier. Visual cue: Grasps its target in a chill that steals its next attack: stun 1. spectral wraith faction, ghostly dark wisps, cold blue-green ethereal glow, menacing undead spirits. simple, common, low-tier design, small and humble. stats 2/2. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
guardian-sacred-sentinel,Sacred Sentinel,guardian,unit,3,6,"Card character: Sacred Sentinel. Visual cue: Draws a halo of divine protection over its own frame. holy guardian faction, radiant golden stone armor, warm divine light, serene paladins and shrines. majestic, epic, imposing, high-tier legendary design. stats 4/6. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
